KW,LO IN TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
175,61,35.0,51,491,431,5.0,7.4,1.8,0.6,2.9,16.25,374.8333333333333
388,62,45.0,50,515,392,4.9,7.1,3.1,1.7,2.7,22.64,412.1666666666667
177,61,35.0,52,535,438,5.3,7.3,1.7,0.6,2.9,16.31,406.6666666666667
175,61,35.0,52,491,431,5.0,7.2,1.8,0.6,2.9,16.25,385.8333333333333
202,61,37.0,55,514,437,5.3,7.4,3.2,0.7,2.9,17.06,409.3333333333333
264,61,37.0,54,498,438,5.0,7.1,3.2,0.6,2.8,18.92,394.8333333333333
181,61,36.0,55,519,440,5.2,7.3,1.8,0.6,2.9,16.43,408.3333333333333
185,61,36.0,55,498,425,5.0,6.9,1.8,0.6,2.8,16.55,392.0
194,61,37.0,52,519,435,5.2,6.8,1.8,0.7,2.9,16.82,410.3333333333333
190,61,37.0,52,501,436,5.0,6.3,1.8,0.7,2.8,16.7,394.8333333333333
246,60,37.0,51,529,427,5.2,6.9,1.8,0.9,2.8,18.38,414.8333333333333
251,62,37.0,50,511,431,5.0,7.1,1.8,0.9,2.7,18.53,405.8333333333333
217,60,34.0,54,521,452,5.2,7.3,3.0,0.9,2.9,17.51,392.3333333333333
223,61,32.0,54,501,429,5.0,6.8,3.2,0.9,2.7,17.69,395.3333333333333
240,61,37.0,45,526,431,5.2,7.2,1.8,0.8,2.9,18.2,415.1666666666667
243,62,34.0,44,511,435,4.9,7.1,1.8,0.9,2.7,18.29,401.5
237,60,36.0,45,528,430,5.2,6.7,3.1,0.8,2.9,18.11,414.0
241,62,35.0,45,510,432,4.9,6.7,3.2,0.9,2.7,18.23,400.0
224,61,38.0,50,532,439,5.2,7.6,3.2,0.8,2.8,17.72,409.8333333333333
231,62,38.0,49,509,440,4.9,7.0,3.2,0.8,2.7,17.93,402.3333333333333
213,61,37.0,47,524,444,5.2,6.8,1.7,0.7,2.8,17.39,429.5
217,62,37.0,46,510,449,4.9,6.9,1.7,0.7,2.7,17.51,409.1666666666667
186,61,36.0,48,524,449,5.2,7.2,1.7,0.5,2.9,16.58,412.6666666666667
178,62,36.0,48,507,455,5.0,7.1,1.7,0.5,2.9,16.34,402.8333333333333
